Biscuit Name,Website for nutritional info per 100g,Energy (kcal),Fat,Fat Saturates,Carbohydrate,Sugar,Fibre,Protein,Salt/Sodium,Fruit Jam(1/0),Milk(1/0),Butter(1/0),Palm Oil,Cream(1/0),Shape (Round/Square etc),Color(Dark/Light/etc),Texture(Crunchy/Soft/Crumbly),Score
Digestive, https://www.sainsburys.co.uk/gol-ui/product/mcvities-digestive-biscuits-250g,483,21.3,10.1,63.6,15.1,3.7,7,1.3,0,0,0,1,0,Round,Light,Crunchy,4.615909091
Custard Cream, https://www.tesco.com/groceries/en-GB/products/254921258?srsltid=AfmBOopFEXnUuc1SzprWpiUmt7jSjSroFMUgUmdqxMBdVw31F_0suLNl,490,20.5,12.8,70.1,28.3,1.1,5.7,0.45,0,1,0,1,1,Rectangle,Light,Crunchy,3.116666667
Hobnob,https://www.tesco.com/groceries/en-GB/products/312831392,472,20.2,8.8,61.8,22.9,6.5,7.4,0.82,0,0,0,1,0,Round,Light,Crumbly,6.032323233
Garibaldi, https://www.sainsburys.co.uk/gol-ui/product/sainsburys-garibaldi-biscuits-200g,385,8.6,4,68.5,34.2,5.5,5.6,0.23,0,1,0,1,0,Rectangle,Light,Soft,2.826666667
Oreos,https://www.sainsburys.co.uk/gol-ui/product/oreo-cookies-154gÂ ,472,19,5.4,67,35,2.9,5.6,0.76,0,0,0,1,1,Round,Dark,Crumbly,3.12
Borders Lemon Drizzle Melt, https://www.tesco.com/groceries/en-GB/products/304378894?srsltid=AfmBOooclZY6oOZsnnsfCnIpLXzbpFE7qOc3mHp26CYJXqeminig6V8u,348,27.6,14.4,55,22,2.54,0.3,1,1,1,1,1,0,Round,Light,Crunchy,4.917727273
Jammy Dodgers, https://www.tesco.com/groceries/en-GB/products/278003053?srsltid=AfmBOoq0ErN05OEw0nceqh7h6fyUiy19KNBjhExKPJn7YnAemXtdMQUC,431,14,6.5,67,29,2.1,5.3,0.56,1,0,0,1,0,Round,Light,Crunchy,4.442857143
Ginger Snap,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-ginger-snaps-300g?istCompanyId=1e096408-041f-4238-994e-a7cf46bf9413&istFeedId=689af7a8-5842-4d88-be59-1ee5688a81b5&istItemId=pmlxwtpix&istBid=t&utm_source=google&utm_medium=free_listing&utm_campaign=merchant_center&gQT=1,444,13.4,6.2,74.1,25.5,2.1,5.7,0.77,0,0,0,1,0,Round,Dark,Crunchy,3.628571429
Bourbons,https://groceries.asda.com/product/chocolate-biscuits/asda-asda-bourbon-biscuits-300-g/910001362512??utm_source=organic&utm_medium=shopping&utm_campaign=ghs&srsltid=AfmBOopw6RUnzKwdRww4jqYVjPiU5-7O8klmt3eFWzu_76z3cmn0Wv0vrjo&gQT=1,485,21,12,68,27,2.4,5.4,0.17,0,0,0,1,0,Rectangle,Dark,Crumbly,5.774814815
Fruit shortcake,https://www.tesco.ie/groceries/en-IE/products/268313398,465,18.9,6.3,66.5,26.3,3.1,5.7,0.94,0,0,0,1,0,Round,Light,Crumbly,3.254166667
Foxes Jam n' cream,https://shop.supervalu.ie/sm/delivery/rsid/5550/product/fox's-jam'n'-cream-rasperry-&-vanilla-biscuits-150-g-id-1013106001,494,22.9,12.1,66.7,28.5,1.2,4.6,0.42,1,1,0,1,0,Round,Light,Crunchy,2.877777778
good shortbread, https://groceries.morrisons.com/products/morrisons-the-best-all-butter-shortbread-fingers/113256635?srsltid=AfmBOooglTBsJXq4xWU32CfHYgR_faKPQNxrt3jBOTgx39XIlvHbGVAy,511,27.3,17.9,59.8,15.9,1.3,5.9,0.53,0,1,1,0,0,Rectangle,Light,Crumbly,8.489087302
Party rings, https://www.sainsburys.co.uk/gol-ui/product/foxs-party-ring-biscuits-125g,440,11.1,5.2,79.7,43,1.4,4.5,0.46,1,0,0,1,0,Doughnut,Light,Crunchy,2.666666667
Viennese whirl, https://www.mrkipling.co.uk/products/viennese-whirls/,498,28.5,10.6,55.4,26.5,2.2,3.8,0.68,1,1,0,1,1,Round,Light,Soft,4.148809524
Fox's Crunch Cream," https://www.fbc-uk.com/brands/foxs-favourites/foxs-golden-crunch-creams#:~:text=Wheat%20Flour%20(Wheat%20Flour%2C%20Calcium,%2C%20Salt%2C%20Flavouring%2C%20Emulsifier%3A",486,21.6,12.1,67.7,38.2,1.3,4.6,0.47,0,1,0,1,1,Round,Light,Crunchy,3.009090909
Biscoff,https://www.tesco.com/groceries/en-GB/products/259874271,484,19,8,72.6,38.1,1.3,4.9,0.92,0,0,0,1,0,Rectangle,Light,Crunchy,7.449848485
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,x,,,,,,,,
